评论内容,自动标注,人工标注
"这家店真的yyds,每次来都好吃到哭",正面,正面
踩雷了踩雷了，服务态度绝绝子差,负面,负面
就是说，整个一个大无语事件,负面,负面
家人们谁懂啊，今天真的破防了,负面,负面
"u1s1,这个东西是真的好用，安利给大家",正面,正面
我真的会谢，等了两个小时,负面,负面
咱就是说，一整个爱住,正面,正面
"srds,这个价格有点劝退",负面,负面
"今天也是被自己蠢哭的一天,栓Q",负面,负面
啊啊啊啊啊绝了绝了真的绝了,正面,正面
有一说一，这家店是真的顶,正面,正面
被无语住了，怎么会有这种人,负面,负面
今天就是一整个emo住的大动作,负面,负面
咱就是说，这个效率我真的会谢,负面,负面
安利给所有人，不好用来打我,正面,正面
咱也不敢说，咱也不敢问,负面,负面
这个质量真的会谢，用了两天就坏了,负面,负面
就是说一整个大震惊,中性,中性
谁懂啊，今天在地铁上社死了,负面,负面
"u1s1,这个剧真的可以冲",正面,正面
我直接就是一个好家伙,中性,中性
今天也是被老板pua的一天呢,负面,负面
绝了，这个天气热到让人融化,正面,负面
咱就是说，这个大无语事件,负面,负面
就是说，这个东西真的很迷,负面,负面
家人们，这个雷我先踩为敬,中性,负面
破防了破防了，看到工资条的那一刻,负面,负面
"我真的栓Q,快递寄错地址了",负面,负面
就是说，这个反转我没想到,中性,中性
今天也是努力搬砖的一天呢,正面,正面
咱就是说，这个价格很香,正面,正面
被自己蠢哭了，钥匙又忘带了,负面,负面
就是说，这个操作真的很迷,负面,负面
家人们谁懂啊，遇到奇葩室友了,负面,负面
安利一款超好用的APP给大家,正面,正面
"u1s1,这个综艺真的下饭",正面,正面
就是说，整个人都不好了,负面,负面
今天也是想辞职的第10086天,负面,负面
咱就是说，这个味道真的绝,中性,正面
我真的会谢，考试又挂了,负面,负面
就是说，这波操作在大气层,正面,正面
家人们，这个羊毛必须薅,正面,正面
破防了，看到前任有了新欢,负面,负面
今天也是被地铁挤成肉饼的一天,负面,负面
就是说，这个剧情我磕到了,正面,正面
咱就是说，一整个后悔住,负面,负面
"u1s1,这家外卖真的踩雷",负面,负面
就是说，今天运气爆棚了,正面,正面
"我真的栓Q,又忘记打卡了",负面,负面
家人们，这个新出的口味快冲,正面,正面
