词语,极性,强度,语境依赖,备注
yyds,正面,5,否,极端赞美；与"翻车/拉胯"共现时为反讽
绝绝子,正面,5,是,本义"好到极点"；负面语境中为反讽，需看后续句
爱住,正面,4,否,
安利,正面,3,否,推荐义
顶,正面,4,否,
香,正面,4,否,"真香"表认可
冲,正面,3,否,
磕到了,正面,4,否,
好家伙,中性,2,是,可表惊叹（正面）也可表无语，需语境
薅羊毛,正面,3,否,
下饭,正面,3,否,综艺/内容好看
在大气层,正面,5,否,表水平极高
很香,正面,4,否,
绝了,正面,4,是,惊叹；负面事件前可表反讽
努力搬砖,正面,3,否,自嘲式积极
运气爆棚,正面,5,否,
必须薅,正面,3,否,
踩雷,负面,4,否,
踩雷了,负面,4,否,
无语,负面,3,否,
破防,负面,3,是,感动语境为正面（被暖破防），默认按触发事件判定
emo,负面,3,否,
栓Q,负面,3,是,谐音thank you；网络用法多表无奈，极少数为真感谢
大冤种,负面,3,否,自嘲吃亏/白忙活
会谢,负面,3,否,"我真的会谢"表无语
劝退,负面,4,否,
社死,负面,3,否,
pua,负面,4,否,
迷,负面,3,否,"很迷"表看不懂、不认可
后悔住,负面,4,否,
会谢的,负面,3,否,
不敢说,负面,2,否,"咱也不敢说咱也不敢问"表无奈
不敢问,负面,2,否,
奇葩,负面,3,否,
整个人都不好了,负面,4,否,
想辞职,负面,4,否,
蠢哭了,负面,4,否,
挤成肉饼,负面,3,否,
绝绝子差,负面,5,否,
u1s1,中性,1,否,有一说一，发语词
srds,中性,1,否,虽然但是，转折连接
咱就是说,中性,1,否,发语词，无极性
就是说,中性,1,否,发语词
家人们,中性,1,否,称呼语
有一说一,中性,1,否,
谁懂啊,中性,2,是,可接正面感慨也可接负面吐槽
尊嘟假嘟,中性,2,是,表疑问/惊讶，极性看下文
泰裤辣,正面,4,是,"太酷啦"谐音；反讽语境为负面
蚌埠住了,负面,3,是,"绷不住了"谐音；可指笑哭也可指崩溃，需语境
离大谱,负面,4,否,
润,中性,2,是,run谐音；"下班润了"中性，"公司太差润了"偏负面
摆烂,负面,3,是,自嘲为主；客观陈述时强度降低
卷,中性,3,是,"太卷了"偏负面焦虑，"真卷拿国奖"可正面佩服
小丑,负面,3,否,"小丑竟是我自己"自嘲尴尬
典,负面,3,是,"太典了"多为嘲讽；正面"经典"需语境
