错误编号,错误类型,原文,V1自动标注,人工标注,错误原因分析,优化方案
E01,词典遗漏,看完电影我整个人都emo了,中性,负面,"emo未收录（词典只有""emo""变体缺失），整句无其他情感词",扩充网络新词词典，补充emo/emo了等变体并标注语境义
E02,词典遗漏,这剧情尊嘟假嘟啊我哭死,中性,正面,"""尊嘟假嘟""""哭死"未收录，实际表强烈感动",收录""尊嘟假嘟""并按后续句极性判定
E03,词典遗漏,泰裤辣！这场演出值回票价,中性,正面,"""泰裤辣""未收录",收录泰裤辣（太酷啦），默认正面、反讽语境转负
E04,词典遗漏,他的操作简直离大谱,中性,负面,"""离大谱""未收录",收录离大谱为负面
E05,词典遗漏,听到加薪消息我蚌埠住了,中性,正面,"""蚌埠住了""未收录且极性随语境",收录并标记为语境依赖词，按触发事件判定
E06,歧义词,他背着儿子去了学校,正面,中性,"""背""多音字歧义（bēi背负/bèi背地里），""背""被误匹配",引入多音多义消歧规则，对""背着/背地""分别建模
E07,歧义词,老板说要炒肉丝,正面,中性,"""炒肉丝""可指菜也可指""炒鱿鱼""谐音梗，语境不足",语境不足时输出""无法判定""并转人工，不强行归类
E08,歧义词,你方便的时候我请你吃方便面,中性,中性,"""方便""多义（便利/方便面）导致强度误判",多义词不贡献极性，仅做消歧标记
E09,歧义词,我就是来打个酱油,正面,中性,"""打酱油""为""路过/无关""义，被""打""等无关匹配干扰",固定俗语整体收录为中性
E10,长句误判,不是没有人不觉得这事儿不靠谱,正面,负面,四重否定叠加，词典逐词匹配导致极性翻转,引入否定词计数与句式分析，偶数次否定还原极性
E11,长句误判,虽然价格劝退但是味道绝了服务也贴心,负面,正面,转折句前半负面被采纳，忽略""但是""后真正观点,转折规则：以""但是/然而""后内容为主极性
E12,长句误判,排队一小时拍照五分钟但出片真的香,负面,正面,多重情绪混杂，取了首个负面词,分句标注+强度聚合，取强度最高的情感分句
E13,长句误判,咱就是说u1s1这波操作也不是不行,中性,正面,多个中性发语词+双重否定""不是不行""=肯定",发语词不参与极性；双重否定映射为正面
E14,反讽,这优化可真好啊，3090跑PPT,正面,负面,"""真好啊""+抱怨内容构成反讽（期望违背）",建立反讽规则：正面评价词搭配负面事件/反讽标点时翻转极性
E15,反讽,排队两小时就上了个这？绝绝子,正面,负面,"""绝绝子""反讽用法未识别",语境依赖词按后续句情感方向判定
E16,反讽,高手啊，这bug改了三周还在,正面,负面,"""高手啊""此处为反语嘲讽",反讽信号词（啊+失败事件）检测
E17,反讽,你可真厉害，又把钥匙落家里了,正面,负面,"""可真厉害""+责备事件=反讽",期望违背信号：夸奖词后接明显负面结果时翻转
